Parameter,ParameterName,Value,Unit,Category,Reference
Yield,Barley grain,4.29,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Corn grain,7.82,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Corn silage,47.03,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Rye silage,5.3,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Wheat grain,4,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Wheat silage,7.9,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Alfalfa,11.2,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Red Clover,8.96,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Canola ,2.79,MgWM/ha/yr,Agriculture,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf
Yield,Soybean,2.68,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Sugar beet,37.1,MgWM/ha/yr,Agriculture,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA
Yield,Switchgrass,8.5,Mg DM/ha/yr,Agriculture,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm
Yield,Barley grain,3.48,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Corn grain,9.38,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Corn silage,39.39,Mg WM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Wheat grain,2.8,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Alfalfa,7.49,Mg DM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Canola ,1.64,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Soybean,2.75,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Sugar beet,54.68,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Miscanthus,20,Mg DM/ha/yr,Agriculture,Collura S.  B. Azambre  G. Finqueneisel  T. Zimny  and J.V. Weber. 2006. Miscanthus x Giganteus straw and pellets as sustainable fuels  combustion and emission tests. Environ. Chem. Lett. 4: 75-78.
Yield,Miscanthus,20,Mg DM/ha/yr,Agriculture,Lewandowski  I. A. Kicherer and P. Vonier. 1995. CO2 - Balance for the cultivation and combustion of Miscanthus. Biomass and Bioenergy  vol. 8 No.2 pp. 81-90.
Yield,Miscanthus,15.56,Mg DM/ha/yr,Agriculture,Christian  D.G.  P.R. Poulton  A.B. Riche  and N.E. Yates. 1997. The recovery of 15N-labelled fertilizer applied to miscanthus x giganteus. Biomass and bioenergy 12  pp. 21-24.
Yield,Miscanthus,40.9,Mg DM/ha/yr,Agriculture,Clifton-Brown  J.C.  I. Lewandowski  B. Andersson  G. Basch  D.G. Christian  J.B. Kjeldsen  U. Jorgensen  J.V. Mortensen  A.B. Riche  K. Schwarz  K. Tayebi  and F. Teixeira. 2001. Performance of 15 Miscanthus genotypes at five sites in Europe. Agron. J. 93: 1013-1019.
Yield,Miscanthus,33,Mg DM/ha/yr,Agriculture,Heaton  E.A.  J. Clifton-Brown  T.B. Voigt  M.B. Jones  and S.P. Long. 2004. Miscanthus for renewable energy generation: european union experience and projections for Illinois. Mitigation and Adaptation Strategies for Global Change 9. pp. 433-451.
Yield,Miscanthus,18.3,Mg DM/ha/yr,Agriculture,Elsayed  M.A.  N.D. Mortimer and R. Matthews. 2003. Carbon and energy balances for a range of biofuels options: Interin report. Report no. 21  Resources Research Unit  Sheffield Hallan University  Sheffield  United Kingdon.
Yield,Poplar,11.5,Mg DM/ha/yr,Agriculture,Graham R.L. and M.E. Walsh. 1999. A national assessment of promissing areas for switchgrass  hybrid poplar  or willow energy crop production. ORNL-6944.
Yield,Poplar,16,Mg DM/ha/yr,Agriculture,Strauss  C.H.  Grado  S.C.  1992. Input-output analysis of energy requirements for short rotation  intensive culture  woody biomass. Solar Energy 48  45-51.
Yield,Poplar,18,Mg DM/ha/yr,Agriculture,Turhollow  A.F.  Perlack  R.D.  1991. Emissions of C02 from energy crop production. Biomass and Bioenergy 1  129-135.
Yield,Poplar,12.5,Mg DM/ha/yr,Agriculture,Dubuisson  X.  Sintzoff  I.  1998. Energy and CO2 balances in different power generation routes using wood fuel from short rotation coppice. Biomass and Bioenergy 15  379-390.
Yield,Poplar,5,Mg DM/ha/yr,Agriculture,Nonhebel  S.  2002. Energy yields in intensive and extensive biomass production systems. Biomass and Bioenergy 22  159-167.
Yield,Poplar,13.5,Mg DM/ha/yr,Agriculture,Gasol  C.M.  Gabarrell  X.  Anton  A.  Rigola  M.  Carrasco  J.  Ciria  P.  Rieradevall  J.  2009. LCA of poplar bioenergy system compared with Brassica carinata energy crop and natural gas in regional scenario. Biomass and Bioenergy 33  119-129.
Yield,Poplar,6.9,Mg DM/ha/yr,Agriculture,Scholz  V.  Ellerbrock  R.  2002. The growth productivity  and environmental impact of the cultivation of energy crops on sandy soil in Germany. Biomass and Bioenergy 23  81-92.
Yield,Poplar,13.4,Mg DM/ha/yr,Agriculture,Mann  M.K.  Spath  P.L.  1997. Life cycle assessment of a biomass gasification combined-cycle system. National Renewable Energy Laboratory  Golden  CO.
Yield,Poplar,7,Mg DM/ha/yr,Agriculture,Adler  P.R.  Del Grosso  S.J.  Parton  W.J.  2007. Life-cycle assessment of net greenhouse-gas flux for bioenergy cropping systems. Ecological Applications 17  675-691.
Yield,Poplar,4.2,Mg DM/ha/yr,Agriculture,Vande Walle  I.  Van Camp  N.  Van de Casteele  L.  Verheyen  K.  Lemeur  R.  2007. Short-rotation forestry of birch  maple  poplar and willow in Flanders (Belgium) I--Biomass production after 4 years of tree growth. Biomass and Bioenergy 31  267-275.
Yield,Poplar,10,Mg DM/ha/yr,Agriculture,Manzone  M.  Airoldi  G.  Balsari  P.  2009. Energetic and economic evaluation of a poplar cultivation for the biomass production in Italy. Biomass and Bioenergy 33  1258-1264.
Yield,Poplar,11.2,Mg DM/ha/yr,Agriculture,Walsh  M.E.  Becker  D.  1996. Biocost: A Software Program to Estimate the Cost of Producing Bioenergy Crops  BIOENERGY 96 -Proceedings of the Seventh National Bioenergy Conference:Partnerships to Develop and Apply Biomass Technologies  Nashville  TN
Yield,Willow,11.9,Mg DM/ha/yr,Agriculture,Thyo K.A.  and H. Wenzel. 2007. Life cycle assessment of biogass from maize silage and manure. http://www.biogasmax.eu/media/life_cycle_assess__074696200_1349_02092008.pdf
Yield,Willow,15.6,Mg DM/ha/yr,Agriculture,Bussel  L.v.  2006. The potential of a short-rotation willow plantation to mitigate climate change. Wageningen University  Wageningen  the Netherlands  p. 51.
Yield,Willow,10,Mg DM/ha/yr,Agriculture,Lettens  S.  Muys  B.  Ceulemans  R.  Moons  E.  Garcia  J.  Coppin  P.  2003. Energy budget and greenhouse gas balance evaluation of sustainable coppice systems for electricity production. Biomass and Bioenergy 24  179-197.
Yield,Willow,10,Mg DM/ha/yr,Agriculture,Goglio  P.  Owende  P.M.O.  2009. A screening LCA of short rotation coppice willow (Salix sp.) feedstock production system for small-scale electricity generation. Biosystems Engineering 103  389-394.
Yield,Willow,16.8,Mg DM/ha/yr,Agriculture,Boman  U.R.  Turnbull  J.H.  1997. Integrated biomass energy systems and emissions of carbon dioxide. Biomass and Bioenergy 13  333-343.
Yield,Willow,9,Mg DM/ha/yr,Agriculture,Gustavsson  L.  B_rjesson  P.  Johansson  B.  Svenningsson  P.  1995. Reducing CO2 emissions by substituting biomass for fossil fuels. Energy 20  1097-1113.
Yield,Willow,13.6,Mg DM/ha/yr,Agriculture,Heller  M.C.  Keoleian  G.A.  Volk  T.A.  2003. Life cycle assessment of a willow bioenergy cropping system. Biomass and Bioenergy 25  147-165.
Yield,Willow,15.2,Mg DM/ha/yr,Agriculture,Boehmel  C.  Lewandowski  I.  Claupein  W.  2008. Comparing annual and perennial energy cropping systems with different management intensities. Agricultural Systems 96  224-236.
Yield,Willow,10,Mg DM/ha/yr,Agriculture,Matthews  R.W.  2001. Modelling of energy and carbon budgets of wood fuel coppice systems. Biomass and Bioenergy 21  1-19.
Yield,Willow,9,Mg DM/ha/yr,Agriculture,Borjesson  P.I.I.  1996. Energy analysis of biomass production and transportation. Biomass and Bioenergy 11  305-318.
Yield,Willow,8.8,Mg DM/ha/yr,Agriculture,Styles  D.  Jones  M.B.  2008. Life-cycle environmental and economic impacts of energy-crop fuel-chains: an integrated assessment of potential GHG avoidance in Ireland. Environmental Science & Policy 11  294-306.
Moisture,Corn,0.155,,Agriculture,Beuerlein J. 2008. Bushels Test Weights and Calculations. Ohio State University Fact Sheet. http://ohioline.osu.edu/agf-fact/0503.html Accessed August 2008. 
Moisture,Corn stover,0.3,,Agriculture,Nielsen R.L. 1995. Questions relative to harvesting & storing corn stover. Agronomy Extension publication AGRY - 95-09. Purdue University. http://www.agry.purdue.edu/ext/corn/pubs/agry9509.htm
Moisture,Soybeans,0.13,,Agriculture,Beuerlein J. 2008. Bushels Test Weights and Calculations. Ohio State University Fact Sheet. http://ohioline.osu.edu/agf-fact/0503.html Accessed August 2008. 
Moisture,Canola,0.09,,Agriculture,BoylesM. 2009.Canola Project Specialist. Oklahoma State University. http://www.canola.okstate.edu/commonquestions/index.htm
Moisture,Barley,0.135,,Agriculture,HallR.G.2009.Grain moisture conversion to standard weights. South Dakota State University. http://plantsci.sdstate.edu/rowcrops/files/Grain%20moisture%20conversions%20to%20standard%20weights.pdf - acessed in february 2009.
Moisture,Wheat,0.135,,Agriculture,HallR.G.2009.Grain moisture conversion to standard weights. South Dakota State University. http://plantsci.sdstate.edu/rowcrops/files/Grain%20moisture%20conversions%20to%20standard%20weights.pdf - acessed in february 2009.
Moisture,Corn silage half milk line,0.65,,Agriculture,PSU Agronomy guide.2008. College of Agricultural sciences. The Pennsylvania State University. http://agguide.agronomy.psu.edu/
Moisture,Switchgrass,0.15,,Agriculture,McLaughlin S.B. R. Samson D. Bransby and A. Weislogel. 1996. Evaluating physical chemical and energetic properties of perennial grasses as biofuels. Proc. Bioenergy 96 Nashville TN Sept. 1996. p. 1-8
Moisture,Alfalfa,0.3,,Agriculture,Wu H. 2004. Alfalfa drying properties and technologies - In review. Nature and science 2(4) 65-67.
Moisture,Miscanthus,0.3,,Agriculture,Danalatos N.G.S.V. Archontoulis I. Mitsios. 2006. Potential growth and biomass productivity of Miscanthus x Giganteus as affected by plant density and N-fertilization in central Greece. Biomass and bioenergy 31 145-152.
Moisture,Sugar beets,0.75,,Agriculture,KumhalaF. v. Prosek M. Kroulik Z. Kviz. 2008. Parallel plate mass flow sensor for forage and sugar beet. 200 ASABE Annual International meeting. Providence Rhode Island.
Moisture,Sugar beet top,0.84,,Agriculture,Haciseferofullari H. M. Acaroglu I. Gezer. 2003. Determination of the energy balance of the sugar beet plant. Energy sources 25: 15-22.
Moisture,Poplar,0.55,,Agriculture,Tharakan P.J. Volk T.A. Abrahamson L.P. White E.H. 2003. Energy feedstock characteristics of willow and hybrid poplar clones at harvest age. Biomass and Bioenergy 25 571-580.
Moisture,Willow,0.53,,Agriculture,Tharakan P.J. Volk T.A. Abrahamson L.P. White E.H. 2003. Energy feedstock characteristics of willow and hybrid poplar clones at harvest age. Biomass and Bioenergy 25 571-580.
Nitrogen Fertilizer,Corn grain,0.017857143,kg N / kg corn WM,Agriculture,Pennsylvania State University Agronomy Guide 2014
Nitrogen Fertilizer,Corn silage,0.0035,kg N / kg corn silage 65%,Agriculture,Pennsylvania State University Agronomy Guide 2014
Nitrogen Fertilizer,Alfalfa,0,kg N / kg corn silage 65%,Agriculture,Pennsylvania State University Agronomy Guide 2014
Nitrogen Fertilizer,Red Clover,0,kg N / kg corn silage 65%,Agriculture,Pennsylvania State University Agronomy Guide 2014
